SERVICE_LOG_ID;STATE_INITIAL_ID;STATE_FINAL_ID;EMPLOYEE_INITIAL_ID;EMPLOYEE_FINAL_ID;VEHICLE_INITIAL_ID;VEHICLE_FINAL_ID;LOG_OBSERVATION;LAST_POSITION;EMPLOYEE_INITIAL_NAME;EMPLOYEE_FINAL_NAME;PARTNER_INITIAL_ID;PARTNER_FINAL_ID;STATE_INITIAL_NAME;STATE_FINAL_NAME;VEHICLE_INITIAL_NAME;VEHICLE_FINAL_NAME;DATE;TIME;ICON;PARTNER_INITIAL_NAME;PARTNER_FINAL_NAME;NOTIFICATION_ID;TOKEN_ID;USER_NOTIFICATION;NOTIFICATION_BLOCKED;REQUESTED_COORDINATES;DELIVER_COORDINATES;NOTIFIED_EMPLOYEE;IS_DELAYED;TIME_DELAYED
PARTNER_INITIAL_NAME;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARTNER_FINAL_ID;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARTNER_FINAL_NAME;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOG_OBSERVATION;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAST_POSITION;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICON;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTIFICATION_ID;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOKEN_ID;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USER_NOTIFICATION;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTIFICATION_BLOCKED;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION,NOTIFICATION_BLOCKED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REQUESTED_COORDINATES;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION,NOTIFICATION_BLOCKED,REQUESTED_COORDINATES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELIVER_COORDINATES;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION,NOTIFICATION_BLOCKED,REQUESTED_COORDINATES,DELIVER_COORDINATES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTIFIED_EMPLOYEE;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION,NOTIFICATION_BLOCKED,REQUESTED_COORDINATES,DELIVER_COORDINATES,NOTIFIED_EMPLOYEE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IS_DELAYED;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION,NOTIFICATION_BLOCKED,REQUESTED_COORDINATES,DELIVER_COORDINATES,NOTIFIED_EMPLOYEE,IS_DELAYED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME_DELAYED;SERVICE_LOG_ID,DATE,TIME,STATE_INITIAL_ID,STATE_INITIAL_NAME,STATE_FINAL_ID,STATE_FINAL_NAME,EMPLOYEE_INITIAL_ID,EMPLOYEE_INITIAL_NAME,EMPLOYEE_FINAL_ID,EMPLOYEE_FINAL_NAME,VEHICLE_INITIAL_ID,VEHICLE_INITIAL_NAME,VEHICLE_FINAL_ID,VEHICLE_FINAL_NAME,PARTNER_INITIAL_ID,PARTNER_INITIAL_NAME,PARTNER_FINAL_ID,PARTNER_FINAL_NAME,LOG_OBSERVATION,LAST_POSITION,ICON,NOTIFICATION_ID,TOKEN_ID,USER_NOTIFICATION,NOTIFICATION_BLOCKED,REQUESTED_COORDINATES,DELIVER_COORDINATES,NOTIFIED_EMPLOYEE,IS_DELAYED,TIME_DELAYED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
